roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast
L_Heschl,69,24,22,23,0.0210333882705262,0.05598811833529488,0.37567592724877774,62.0,0.708440146823193,0.11712458025098064,-0.4939451227590329,0.7281942832609942,sentences_vs_baseline,full_n69,0.9769035537393383
R_Heschl,69,24,22,23,0.0657646545412348,0.04847106926518885,1.3567815923645392,62.0,0.17977023775825443,0.4230041452528839,-0.18806555775712977,1.0340738482628975,sentences_vs_baseline,full_n69,0.9769035537393383
L_STG_posterior,69,24,22,23,-0.02927961564802692,0.07009614123782655,-0.41770652607944875,62.0,0.6776047771457155,-0.1302284708350578,-0.7412981738450716,0.48084123217495595,reversed_vs_baseline,full_n69,0.8166181311495656
L_STG_anterior,69,24,22,23,-0.034131695680954234,0.05764527710275716,-0.5920987355149989,62.0,0.5559376311184817,-0.18459877472640562,-0.7956684777364192,0.42647092828360805,reversed_vs_baseline,full_n69,0.8166181311495656
L_MTG,69,24,22,23,0.047997019305544106,0.06471765171252558,0.7416372200701261,62.0,0.461107322982159,0.2312204264333796,-0.37984927657663387,0.8422901294433931,reversed_vs_baseline,full_n69,0.8166181311495656
L_IFG_triangularis,69,24,22,23,-0.04950636941806155,0.04428461498283331,-1.1179135109846259,62.0,0.26791699864199786,-0.3485321822184984,-0.9596018852285121,0.26253752079151516,reversed_vs_baseline,full_n69,0.8166181311495656
L_IFG_opercularis,69,24,22,23,0.0074897962311664575,0.03672052240891785,0.20396758378762894,62.0,0.8390468631525017,0.0635910259432533,-0.5474786770667602,0.6746607289532668,reversed_vs_baseline,full_n69,0.8390468631525017
L_STS,69,24,22,23,0.028829475507773206,0.0545299523190779,0.5286906421461678,62.0,0.5989076747510345,0.16483001718389392,-0.44623968582611967,0.7758997201939075,reversed_vs_baseline,full_n69,0.8166181311495656
R_STG_posterior,69,24,22,23,-0.024087929100465907,0.07481670318430542,-0.32195924272588,62.0,0.7485666202204351,-0.10037731573154714,-0.7114470187415607,0.5106923872784664,reversed_vs_baseline,full_n69,0.8166181311495656
R_STG_anterior,69,24,22,23,-0.085647161611967,0.04758496190347486,-1.7998787471071334,62.0,0.0767454371468377,-0.5611486589024446,-1.1722183619124582,0.04992104410756905,reversed_vs_baseline,full_n69,0.8166181311495656
R_MTG,69,24,22,23,0.020806484693181772,0.053637139197918376,0.38791190216925775,62.0,0.69940990027913,0.12093939329215192,-0.4901303097178617,0.7320090963021655,reversed_vs_baseline,full_n69,0.8166181311495656
R_IFG,69,24,22,23,-0.049185771768882794,0.04878311351116339,-1.0082540499926733,62.0,0.31725135525642667,-0.3143436239222787,-0.9254133269322922,0.2967260790877348,reversed_vs_baseline,full_n69,0.8166181311495656
L_Heschl,69,24,22,23,-0.05344354934893267,0.07021299364431971,-0.7611632345383738,62.0,0.4494450226000188,-0.23730805697525784,-0.8483777599852714,0.37376164603475576,reversed_vs_baseline,full_n69,0.8166181311495656
R_Heschl,69,24,22,23,-0.03708728311684143,0.058625035056281465,-0.6326185234897811,62.0,0.5293091029114751,-0.1972316394222111,-0.8083013424322246,0.4138380635878025,reversed_vs_baseline,full_n69,0.8166181311495656
L_STG_posterior,69,24,22,23,0.019887422178691768,0.046504198790888594,0.42764788332592973,62.0,0.6703892267889519,0.13332789033512082,-0.47774181267489274,0.7443975933451344,words_vs_reversed,full_n69,0.91255107571139
L_STG_anterior,69,24,22,23,-0.028178219748097907,0.03912970306142927,-0.7201235262087535,62.0,0.4741551169763345,-0.22451309657699323,-0.8355827995870068,0.38655660643302026,words_vs_reversed,full_n69,0.91255107571139
L_MTG,69,24,22,23,-0.041693596658675475,0.03815439987472942,-1.0927598598213086,62.0,0.2787271508872742,-0.3406900219399343,-0.951759724949948,0.27037968107007937,words_vs_reversed,full_n69,0.91255107571139
L_IFG_triangularis,69,24,22,23,-0.02426898394225284,0.03061845328906895,-0.7926260583161814,62.0,0.43101832439815374,-0.24711722961901358,-0.8581869326290272,0.363952473391,words_vs_reversed,full_n69,0.91255107571139
L_IFG_opercularis,69,24,22,23,0.021000267023189766,0.02321316032724043,0.904670743972166,62.0,0.3691418679706739,0.2820494300208773,-0.32902027298913633,0.8931191330308909,words_vs_reversed,full_n69,0.91255107571139
L_STS,69,24,22,23,-0.03620461446438739,0.034822552932315405,-1.0396886906815332,62.0,0.3025221793005177,-0.32414400991716047,-0.9352137129271741,0.2869256930928531,words_vs_reversed,full_n69,0.91255107571139
R_STG_posterior,69,24,22,23,-0.013450984278974454,0.0532288579010601,-0.25270097479785614,62.0,0.8013352369997802,-0.07878464776534025,-0.6898543507753537,0.5322850552446733,words_vs_reversed,full_n69,0.91255107571139
R_STG_anterior,69,24,22,23,0.006788036188135643,0.032755191686829596,0.207235428601232,62.0,0.8365051527354408,0.06460984275944272,-0.5464598602505709,0.6756795457694563,words_vs_reversed,full_n69,0.91255107571139
R_MTG,69,24,22,23,-0.01722643002477755,0.03712159958706559,-0.46405408755014466,62.0,0.6442342792272079,-0.1446782619693111,-0.7557479649793246,0.46639144104070246,words_vs_reversed,full_n69,0.91255107571139
R_IFG,69,24,22,23,0.0025239092745532685,0.026938280507916676,0.09369229315922882,62.0,0.9256557146728646,0.029210470283233207,-0.5818592327267804,0.6402801732932468,words_vs_reversed,full_n69,0.9256557146728646
L_Heschl,69,24,22,23,-0.02082048267392557,0.04533782947622255,-0.4592298068623881,62.0,0.6476752299547722,-0.14317419474119666,-0.7542438977512104,0.46789550826881704,words_vs_reversed,full_n69,0.91255107571139
R_Heschl,69,24,22,23,0.014638099410094654,0.03870373182956896,0.37820899221173826,62.0,0.7065672238809556,0.11791431456456299,-0.49315538844545065,0.7289840175745766,words_vs_reversed,full_n69,0.91255107571139
L_STG_posterior,69,24,22,23,-0.05186510881146167,0.047032145387320576,-1.1027587277667332,62.0,0.2743941190939477,-0.3438073715653664,-0.9548770745753801,0.2672623314446472,sentences_vs_reversed,full_n69,0.623279978287653
L_STG_anterior,69,24,22,23,-0.08499387758817531,0.0438335792979189,-1.9390129428059413,62.0,0.05705429342571157,-0.6045265628025505,-1.215596265812564,0.0065431402074630765,sentences_vs_reversed,full_n69,0.22821717370284628
L_MTG,69,24,22,23,-0.14821706137218763,0.051196236070604056,-2.89507730935109,62.0,0.005227917704483744,-0.9025989957225511,-1.5938399365328588,-0.37707735736315906,sentences_vs_reversed,full_n69,0.05378324776162534
L_IFG_triangularis,69,24,22,23,-0.028921314351357648,0.03639132780073959,-0.7947309455075688,62.0,0.4298017847795978,-0.247773470838866,-0.8588431738488795,0.3632962321711476,sentences_vs_reversed,full_n69,0.6447026771693968
L_IFG_opercularis,69,24,22,23,-0.027124884186755027,0.026590132038913836,-1.0201109248746338,62.0,0.3116399891438265,-0.3180402448471494,-0.9291099478571629,0.29302945816286424,sentences_vs_reversed,full_n69,0.623279978287653
L_STS,69,24,22,23,-0.11143436088677691,0.04129576766702099,-2.6984450751782236,62.0,0.008963874626937556,-0.8412949136112198,-1.4563648256655655,-0.3789192196600537,sentences_vs_reversed,full_n69,0.05378324776162534
R_STG_posterior,69,24,22,23,-0.008988512570498444,0.04634430253909308,-0.1939507572245005,62.0,0.8468485005923926,-0.06046807735497082,-0.6715377803649846,0.550601625655043,sentences_vs_reversed,full_n69,0.9238347279189738
R_STG_anterior,69,24,22,23,-0.020782138566865938,0.03192645415410673,-0.6509378857593152,62.0,0.5174918823961572,-0.2029430716984239,-0.8140127747084374,0.40812663131158966,sentences_vs_reversed,full_n69,0.6899891765282096
R_MTG,69,24,22,23,-0.05625711693410551,0.0424686082425697,-1.324675313416899,62.0,0.19014088424767756,-0.41299436242569454,-1.0240640654357083,0.19807534058431917,sentences_vs_reversed,full_n69,0.5704226527430327
