roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast
R_STG_posterior,65,22,20,23,-0.036865031463562535,0.07856833927587026,-0.46920975806961523,58.0,0.6406787811374588,-0.14942344382322398,-0.7736004666933809,0.4747535790469328,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
R_STG_anterior,65,22,20,23,-0.08601201754565337,0.04784986016620915,-1.7975395799880258,58.0,0.07745608017045581,-0.572440256902142,-1.196617279772299,0.05173676596801493,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
R_MTG,65,22,20,23,0.032537786044672994,0.05523965602338918,0.5890294832917874,58.0,0.5581287920525478,0.1875809537060279,-0.4365960691641291,0.8117579765761849,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
R_IFG,65,22,20,23,-0.03511569418700797,0.04920025112815725,-0.7137299786445865,58.0,0.47825650737884906,-0.22729278224671365,-0.8514698051168705,0.3968842406234433,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
L_Heschl,65,22,20,23,-0.053460135430197155,0.06699444254244927,-0.7979786591451007,58.0,0.4281380386786365,-0.2541224202954636,-0.8782994431656205,0.37005460257469336,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
R_Heschl,65,22,20,23,-0.03552062705935828,0.05987636451292001,-0.5932328615524696,58.0,0.5553316745243283,-0.18891955173090022,-0.8130965746010571,0.4352574711392566,reversed_vs_baseline,motion_clean_n65,0.7771127429649285
L_STG_posterior,65,22,20,23,0.022765587597838335,0.04631385227860242,0.49155029171167264,58.0,0.6248924214065485,0.15653795799568826,-0.46763906487446866,0.7807149808658452,words_vs_reversed,motion_clean_n65,0.8125862398928823
L_STG_anterior,65,22,20,23,-0.028358336808560692,0.03829858337102281,-0.7404539362157445,58.0,0.46201167662587106,-0.2358032313671594,-0.8599802542373163,0.3883737915029975,words_vs_reversed,motion_clean_n65,0.8125862398928823
L_MTG,65,22,20,23,-0.038441900230738305,0.0400016645824206,-0.9610075138631166,58.0,0.3405377672989828,-0.30604020865251585,-0.9302172315226727,0.31813681421764095,words_vs_reversed,motion_clean_n65,0.8125862398928823
L_IFG_triangularis,65,22,20,23,-0.025172181638599182,0.03199373385738993,-0.7867847419998744,58.0,0.4346110168996385,-0.2505576315822174,-0.8747346544523743,0.37361939128793953,words_vs_reversed,motion_clean_n65,0.8125862398928823
L_IFG_opercularis,65,22,20,23,0.01825794429478971,0.02435115026145867,0.7497774888969879,58.0,0.4564193310136024,0.2387723881810123,-0.38540463468914465,0.8629494110511693,words_vs_reversed,motion_clean_n65,0.8125862398928823
L_STS,65,22,20,23,-0.030382410078375596,0.03590396582092655,-0.8462132074743474,58.0,0.40091168744766725,-0.269483081915686,-0.8936601047858428,0.3546939409544709,words_vs_reversed,motion_clean_n65,0.8125862398928823
R_STG_posterior,65,22,20,23,0.005076341571297896,0.0545795074747188,0.09300819677878652,58.0,0.9262175826164037,0.029619173146890148,-0.5945578497232668,0.653796196017047,words_vs_reversed,motion_clean_n65,0.9262175826164037
R_STG_anterior,65,22,20,23,0.013889007918563491,0.03319064683265722,0.4184615017775942,58.0,0.6771551999107353,0.1332622726353641,-0.49091475023479286,0.7574392955055211,words_vs_reversed,motion_clean_n65,0.8125862398928823
R_MTG,65,22,20,23,-0.021171993046284296,0.038233937415286294,-0.5537486975594497,58.0,0.5818794639230994,-0.17634551707187968,-0.8005225399420365,0.44783150579827713,words_vs_reversed,motion_clean_n65,0.8125862398928823
R_IFG,65,22,20,23,-0.004818467449929481,0.027508628191099047,-0.17516204066797447,58.0,0.86156237655246,-0.055781694420406966,-0.6799587172905638,0.5683953284497498,words_vs_reversed,motion_clean_n65,0.9262175826164037
L_Heschl,65,22,20,23,-0.017890721675338624,0.04043292616561051,-0.4424790232114155,58.0,0.6597883542746338,-0.14091083642377367,-0.7650878592939305,0.48326618644638325,words_vs_reversed,motion_clean_n65,0.8125862398928823
R_Heschl,65,22,20,23,0.023952920488035413,0.038841631784287414,0.6166816219529963,58.0,0.5398579239005059,0.19638698920885755,-0.4277900336612993,0.8205640120790144,words_vs_reversed,motion_clean_n65,0.8125862398928823
L_STG_posterior,65,22,20,23,-0.055008488880988735,0.04648381043130023,-1.1833902679361317,58.0,0.24148230759859662,-0.37685970119076123,-1.0010367240609181,0.24731732167939574,sentences_vs_reversed,motion_clean_n65,0.5692597005440388
L_STG_anterior,65,22,20,23,-0.09491231346466339,0.04488636909374806,-2.1145019163040994,58.0,0.03878139433615223,-0.6733793423326196,-1.2975563652027764,-0.04920231946246284,sentences_vs_reversed,motion_clean_n65,0.1551255773446089
L_MTG,65,22,20,23,-0.14747693960792377,0.05399134410948209,-2.731492279741625,58.0,0.008339489437578246,-0.8698646526336454,-1.6001987814018992,-0.3842513778133167,sentences_vs_reversed,motion_clean_n65,0.07653196648840328
L_IFG_triangularis,65,22,20,23,-0.024097918692229558,0.037578761758656744,-0.6412643089997051,58.0,0.5238770085249118,-0.20421553431853276,-0.8283925571886896,0.419961488551624,sentences_vs_reversed,motion_clean_n65,0.6985026780332158
L_IFG_opercularis,65,22,20,23,-0.024955241758832444,0.027547232238838856,-0.9059074081369248,58.0,0.3687329423702415,-0.28849315765659483,-0.9126701805267516,0.335683865213562,sentences_vs_reversed,motion_clean_n65,0.5692597005440388
L_STS,65,22,20,23,-0.11057904680711853,0.04302395287693586,-2.57017404057258,58.0,0.012755327748067213,-0.8184916229095688,-1.4619930768612635,-0.31473333887137317,sentences_vs_reversed,motion_clean_n65,0.07653196648840328
R_STG_posterior,65,22,20,23,-0.0024515699763568086,0.04809752654766566,-0.05097081185510135,58.0,0.959523915953737,-0.01623204571275105,-0.6404090685829078,0.6079449771574058,sentences_vs_reversed,motion_clean_n65,0.991853114802185
R_STG_anterior,65,22,20,23,-0.028830266024093415,0.032555624450430316,-0.8855694372562508,58.0,0.3795064670293592,-0.2820163749445953,-0.9061933978147522,0.34216064792556156,sentences_vs_reversed,motion_clean_n65,0.5692597005440388
R_MTG,65,22,20,23,-0.07126591790348118,0.042975426160327984,-1.6582946178965194,58.0,0.10265726143644709,-0.5280966314491091,-1.152273654319266,0.09608039142104774,sentences_vs_reversed,motion_clean_n65,0.3079717843093413
R_IFG,65,22,20,23,-0.03216191539160543,0.03264408573114276,-0.9852294733107707,58.0,0.32860361770428054,-0.31375387729339266,-0.9379309001635495,0.31042314557676426,sentences_vs_reversed,motion_clean_n65,0.5692597005440388
L_Heschl,65,22,20,23,0.0005114096494473093,0.04986981691433233,0.010254893261906739,58.0,0.991853114802185,0.0032657493602388675,-0.620911273509918,0.6274427722303957,sentences_vs_reversed,motion_clean_n65,0.991853114802185
R_Heschl,65,22,20,23,0.012084432035559627,0.04515549629565457,0.26761818664193365,58.0,0.7899426287037266,0.08522506275717964,-0.5389519601129771,0.7094020856273364,sentences_vs_reversed,motion_clean_n65,0.9479311544444718
L_STG_posterior,65,22,20,23,0.017830137920758694,0.03975754529702904,0.4484718004481803,58.0,0.6554837310456632,0.1428192822678389,-0.481357740602318,0.7669963051379959,speech_vs_reversed,motion_clean_n65,0.667901499301439
L_STG_anterior,65,22,20,23,-0.03416524171133979,0.03637352103095274,-0.9392888217301325,58.0,0.3514778575986559,-0.2991237246748631,-0.92330074754502,0.3250532981952939,speech_vs_reversed,motion_clean_n65,0.667901499301439
L_MTG,65,22,20,23,-0.055010929108591,0.04224311848555066,-1.3022459297697824,58.0,0.19798007126777492,-0.4147101976982053,-1.0388872205683624,0.20946682517195173,speech_vs_reversed,motion_clean_n65,0.667901499301439
L_IFG_triangularis,65,22,20,23,0.01267342906218675,0.028788111137336612,0.44023135112015055,58.0,0.661405856206507,0.14019504801851135,-0.4839819748516455,0.7643720708886682,speech_vs_reversed,motion_clean_n65,0.667901499301439
L_IFG_opercularis,65,22,20,23,0.019980382979157725,0.0224848525682819,0.8886152541352623,58.0,0.3778804911004156,0.28298633867507955,-0.34119068419507737,0.9071633615452364,speech_vs_reversed,motion_clean_n65,0.667901499301439
L_STS,65,22,20,23,-0.03569602682295419,0.03642595661412176,-0.9799612732508283,58.0,0.3311752985317193,-0.3120761786049746,-0.9362532014751314,0.3121008442651822,speech_vs_reversed,motion_clean_n65,0.667901499301439
R_STG_posterior,65,22,20,23,0.03287302410436511,0.04775777769068559,0.6883281780252617,58.0,0.4939901446838893,0.2192033841415547,-0.4049736387286022,0.8433804070117117,speech_vs_reversed,motion_clean_n65,0.667901499301439
