contrast,roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
words_vs_reversed,L_STS,AVH-_vs_AVH+,-0.2391764768221122,-0.7853182689848515,0.3796248113724878,small
words_vs_reversed,R_STG_posterior,HC_vs_AVH-,-0.4117664843340974,-1.0603323302689747,0.14250622682115488,small
words_vs_reversed,R_STG_posterior,HC_vs_AVH+,-0.3649672232118697,-1.0959050735523255,0.20007279294272545,small
words_vs_reversed,R_STG_posterior,AVH-_vs_AVH+,-0.05684074186818947,-0.683269340981947,0.5037265931686692,negligible
words_vs_reversed,R_STG_anterior,HC_vs_AVH-,-0.5716500498029835,-1.1378181247445867,-0.060377528448186266,medium
words_vs_reversed,R_STG_anterior,HC_vs_AVH+,-0.3904552542780409,-0.9064721602974998,0.17860126418241024,small
words_vs_reversed,R_STG_anterior,AVH-_vs_AVH+,0.20704152856716748,-0.40192785846509094,0.8132889035692086,small
words_vs_reversed,R_MTG,HC_vs_AVH-,-0.1180892642918107,-0.6893910774771668,0.41597425099243124,negligible
words_vs_reversed,R_MTG,HC_vs_AVH+,-0.19402131863174238,-0.7515800546186209,0.39340459181036286,negligible
words_vs_reversed,R_MTG,AVH-_vs_AVH+,-0.1075185046128126,-0.6515911406071613,0.508295709978296,negligible
words_vs_reversed,R_IFG,HC_vs_AVH-,0.1635386439250085,-0.40627208531349646,0.7881019063446943,negligible
words_vs_reversed,R_IFG,HC_vs_AVH+,0.09875625971246745,-0.4642211019879263,0.7574546174326487,negligible
words_vs_reversed,R_IFG,AVH-_vs_AVH+,-0.07213325735012781,-0.6085664646215823,0.5118179214093418,negligible
words_vs_reversed,L_Heschl,HC_vs_AVH-,-0.43522802683971445,-0.9362339931516781,0.1866128562128616,small
words_vs_reversed,L_Heschl,HC_vs_AVH+,-0.5050127641033799,-1.0030237061734877,-0.01052965210352521,medium
words_vs_reversed,L_Heschl,AVH-_vs_AVH+,-0.10047905328930826,-0.6371005792286152,0.5240308612716466,negligible
words_vs_reversed,R_Heschl,HC_vs_AVH-,-0.33561094493736865,-0.8730862372366401,0.1836594476820013,small
words_vs_reversed,R_Heschl,HC_vs_AVH+,-0.24874182475735537,-0.7762522162854109,0.3163745277986273,small
words_vs_reversed,R_Heschl,AVH-_vs_AVH+,0.05134640974866655,-0.5796865004334372,0.6190400428495226,negligible
sentences_vs_reversed,L_STG_posterior,HC_vs_AVH-,0.067017144090848,-0.47852508876661304,0.6553524496477925,negligible
sentences_vs_reversed,L_STG_posterior,HC_vs_AVH+,-0.2635884292597379,-0.825073299394579,0.28216110896453683,small
sentences_vs_reversed,L_STG_posterior,AVH-_vs_AVH+,-0.49564075038829714,-1.087733542194661,0.03676342078473097,small
sentences_vs_reversed,L_STG_anterior,HC_vs_AVH-,0.3697346470438594,-0.1859342520102462,0.9161588333737695,small
sentences_vs_reversed,L_STG_anterior,HC_vs_AVH+,-0.30138742895291026,-0.9051921418521982,0.2651140385219295,small
sentences_vs_reversed,L_STG_anterior,AVH-_vs_AVH+,-0.6814072034300929,-1.2375918987867804,-0.17836745942812546,medium
sentences_vs_reversed,L_MTG,HC_vs_AVH-,0.3723266321449531,-0.18508170021971898,1.013066647228013,small
sentences_vs_reversed,L_MTG,HC_vs_AVH+,-0.5736514071921166,-1.1909770677469786,-0.06123254972600439,medium
sentences_vs_reversed,L_MTG,AVH-_vs_AVH+,-0.8882515502074201,-1.501269761172839,-0.3435965414685449,large
sentences_vs_reversed,L_IFG_triangularis,HC_vs_AVH-,0.12327180079323292,-0.4541233408778466,0.7130746768345568,negligible
sentences_vs_reversed,L_IFG_triangularis,HC_vs_AVH+,-0.31026174953073615,-0.9181134568823146,0.2555733036511434,small
sentences_vs_reversed,L_IFG_triangularis,AVH-_vs_AVH+,-0.33947961023518725,-0.9193857880220233,0.24408588139381426,small
